Feature	Gain	Cover	Frequency
Visa_mfinanciacion_limite_delta2	0.0016122017513064	0.00143873206123776	0.00403410828999694
ccomisiones_otras	0.00160014047995158	0.00361892170986267	0.00430177424288773
rf_003_004	0.00159053971310927	0.000177697844295446	3.82379932701132e-05
mpayroll_sobre_edad	0.00158027558200113	0.00284992107791405	0.00338406240440502
ccomisiones_mantenimiento	0.0015784645030289	0.00626326897263287	0.00175894769042521
rf_017_005	0.0015752431588054	0.000600664597974976	0.000669164882226981
Visa_msaldototal_lag1	0.00156929555982699	0.00286773551674239	0.00376644233710615
chomebanking_transacciones_delta1	0.00156837261361912	0.00479579835880336	0.00397675130009177
Master_msaldototal	0.00154003162947378	0.00658803832530675	0.00321199143468951
Visa_cconsumos_lag1	0.00153669790542238	0.00203660449820333	0.00355613337412053
cdescubierto_preacordado_delta1	0.00152997714063038	0.00494766631169622	0.000764759865402264
Visa_cconsumos_delta2	0.00150838576017181	0.00347071834819137	0.00330758641786479
kmes_lag2	0.00150436886683299	0.00136250875599437	0.00313551544814928
Master_mpagominimo_delta1	0.00150181591612002	0.00398371475934568	0.00229427959620679
ctarjeta_visa_transacciones_delta1	0.00149620748151116	0.00728897426769371	0.00346053839094524
Visa_msaldototal_lag2	0.00146401699589582	0.00250870526274946	0.00368996635056592
Visa_fultimo_cierre	0.00145445901227289	0.00562646145497091	0.00367084735393087
Master_mlimitecompra_delta2	0.00145165887749558	0.00213565895620155	0.00357525237075558
mttarjeta_visa_debitos_automaticos	0.00144719872392099	0.00180037696359507	0.00407234628326705
rf_002_009	0.00144557665005982	0.000145462364658363	0.000267665952890792
Visa_mconsumototal_delta1	0.00142901890000689	0.00198554331013625	0.00432089323952279
Visa_mconsumototal_delta2	0.00142543480164346	0.00260726201276321	0.00390027531355155
Visa_mfinanciacion_limite_delta1	0.00142449589841649	0.00115760175425058	0.00353701437748547
Master_fultimo_cierre	0.00141476227855848	0.00228787448798126	0.00382379932701132
Master_mfinanciacion_limite_lag2	0.00140417176705142	0.00130491154753277	0.00351789538085041
Master_mfinanciacion_limite_delta1	0.00140131928362101	0.00113155255426218	0.00336494340776996
mcaja_ahorro_delta2	0.00138667619952735	0.00159828398165729	0.00344141939431019
Visa_cconsumos_delta1	0.00137633032790828	0.00480740754166508	0.00300168247170389
rf_015_003_delta2	0.00135716279291466	0.000572918578873494	0.000286784949525849
Visa_mconsumototal_lag1	0.00135631045180408	0.00129787877998	0.00368996635056592
mtarjeta_visa_consumo_delta1	0.00134362758389023	0.00445075749443765	0.00346053839094524
mtransferencias_recibidas_lag1	0.00133629970721459	0.00242150499830029	0.00328846742122973
mcaja_ahorro_delta1	0.0013356287848436	0.00286314276738762	0.00390027531355155
Visa_mlimitecompra_lag2	0.00132970492833358	0.0013812119590807	0.00305903946160906
Master_mlimitecompra	0.00132540604425495	0.00125521713477053	0.00313551544814928
mtransferencias_recibidas_lag2	0.00132312490990188	0.00271511884001381	0.00340318140104007
Visa_fultimo_cierre_lag1	0.00130911993238594	0.00162610950912888	0.00330758641786479
Visa_fultimo_cierre_lag2	0.00130105476550097	0.00162112113957603	0.00323111043132456
cprestamos_personales	0.00127757894216522	0.00123261754113589	0.000936830835117773
Visa_mlimitecompra_delta2	0.00126816755501987	0.00137402473871229	0.00300168247170389
Visa_msaldototal_delta1	0.00126735629448341	0.00228330647990178	0.00336494340776996
cproductos_lag1	0.00126120936670491	0.0040595429248041	0.0049327011318446
chomebanking_transacciones_delta2	0.00123578202507946	0.00306375655735224	0.00349877638421536
rf_008_001	0.00122347126258559	0.000879231901007381	0.000325022942795962
thomebanking	0.00122019031532981	0.000937304238037174	0.00156775772407464
rf_019_002	0.00121919261847357	0.000239280079524608	0.000152951973080453
rf_001_002	0.00121549406006708	0.000305419753744779	0.000191189966350566
Master_fultimo_cierre_lag1	0.00120729074957143	0.00206417036238766	0.00326934842459468
ccomisiones_otras_lag2	0.0011861322425878	0.00327246867115299	0.00451208320587336
Visa_mfinanciacion_limite_lag2	0.00118573781363184	0.00127412787632143	0.00271489752217804
Master_mlimitecompra_lag2	0.00117355033342204	0.00196430136395732	0.00242811257265219
mtarjeta_visa_consumo_delta2	0.00116934154349204	0.00195368375375964	0.00325022942795962
Visa_mlimitecompra_lag1	0.00115917770111868	0.00137866240669307	0.00240899357601713
Master_mlimitecompra_delta1	0.00115742844311412	0.00140664070553441	0.00313551544814928
ccallcenter_transacciones	0.00111854254633559	0.00244690732203282	0.00126185377791374
Visa_mlimitecompra_delta1	0.00111629068309499	0.00131744408439657	0.0029060874885286
Visa_msaldototal_delta2	0.0011121768228605	0.00218325636572806	0.00326934842459468
rf_009_013	0.00110538857083636	0.000219352303414711	0.000191189966350566
mtarjeta_visa_consumo_lag1	0.00109837557835453	0.00311871461638074	0.00261930253900275
mpayroll_sobre_edad_delta2	0.00109765841446965	0.00284771021677067	0.00196925665341083
mtarjeta_visa_consumo_lag2	0.00109454907299555	0.00314162984143025	0.00286784949525849
internet_lag2	0.00108682878565452	0.0028797693847955	0.00162511471397981
Master_fultimo_cierre_lag2	0.00107402871545735	0.00123178042128749	0.00281049250535332
mcomisiones_mantenimiento_lag1	0.00107123230678418	0.00139189850856001	0.00282961150198838
ccomisiones_otras_lag1	0.00107017600317266	0.00179884276432054	0.00338406240440502
Master_mfinanciacion_limite_lag1	0.00103470808523357	0.00108435628968455	0.00269577852554298
ccomisiones_mantenimiento_delta1	0.00103335594632085	0.00151835957379579	0.000802997858672377
ctarjeta_visa_transacciones_lag2	0.000983712003052483	0.00109247791355663	0.00256194554909758
ctarjeta_visa_transacciones_lag1	0.000951809491950374	0.00131959873720579	0.00252370755582747
rf_016_002_delta2	0.000936155638256543	0.000189806416587533	0.00011471397981034
mpayroll_delta2	0.000924404033227731	0.00298069168897482	0.00175894769042521
rf_008_005	0.000891845291019479	0.000184684732395982	0.000133832976445396
Master_mlimitecompra_lag1	0.000885367659408892	0.00087927633922028	0.00237075558274702
rf_016_002	0.00087058006189843	0.000236893627388643	9.5594983175283e-05
ccomisiones_otras_delta2	0.000869631284507804	0.00385357565132119	0.00195013765677577
mtransferencias_recibidas_delta2	0.000866993004572448	0.00155963738903492	0.00240899357601713
rf_013_012	0.000865382613893883	0.000200758154104903	0.000210308962985623
cproductos_lag2	0.000829220495208972	0.00187226093740049	0.00325022942795962
rf_010_014	0.000799149367029087	0.00039285662165181	0.000210308962985623
Master_mconsumototal_lag2	0.000785356747684522	0.00179751850557615	0.00170159070052004
Master_cconsumos	0.000779078246029967	0.00430717690794065	0.00166335270724992
rf_019_012	0.000767289564262326	0.00164494098251623	0.000497093912511472
Master_mconsumototal	0.000755546279740697	0.00202351468212912	0.00191189966350566
mpayroll_delta1	0.000724736850264633	0.0057867657023245	0.00191189966350566
rf_012_007	0.000723675352189554	0.000176212887364944	0.000325022942795962
mtransferencias_recibidas_delta1	0.000712868157190815	0.00142428435750129	0.00210308962985623
Master_mpagominimo_lag1	0.000679730426578827	0.00157643022937969	0.00181630468033038
rf_011_005	0.000658916192319156	0.000497204991942385	0.000535331905781585
rf_002_010	0.00065869432774851	0.000301575247812607	0.000286784949525849
Master_mpagominimo_delta2	0.000646310228703743	0.00153828494784013	0.00137656775772407
cprestamos_personales_delta1	0.000638036412864065	0.00179689805204145	0.000363260936066075
rf_018_001	0.000636252823931194	7.82352753582215e-05	9.5594983175283e-05
Master_mpagominimo_lag2	0.000623516784090759	0.00114454820936635	0.00166335270724992
rf_009_009	0.000622606535092594	0.000202656986931758	9.5594983175283e-05
ctarjeta_master_transacciones	0.000617849176227641	0.00115609565914313	0.00095594983175283
Master_msaldototal_delta1	0.00058416712274527	0.000824551760964412	0.00143392474762924
Master_msaldototal_delta2	0.000580409517120487	0.00117736114556457	0.00131921076781891
mpayroll_sobre_edad_delta1	0.000565486037918065	0.00163011423283405	0.00166335270724992
cprestamos_personales_lag2	0.000559557738284393	0.00545812037665959	0.00105154481492811
rf_015_001	0.000551494039619605	0.000193048964889838	0.000401498929336188
mpayroll_lag2	0.000540562884558706	0.00107655558177157	0.00198837565004589
mpayroll_sobre_edad_lag2	0.000537409975062945	0.00120249852146559	0.00177806668706026
rf_015_014_delta2	0.000531076750920027	0.000207310028132139	0.000516212909146528
rf_020_005	0.000509263934064164	3.47261814184445e-05	5.73569899051698e-05
rf_003_007	0.000505041953430019	9.50816817650319e-05	0.000133832976445396
mtarjeta_master_consumo_delta2	0.000484272585973932	0.00270079652409968	0.00105154481492811
ccomisiones_otras_delta1	0.00047041469428626	0.000788867395593239	0.00135744876108902
ccallcenter_transacciones_delta1	0.000465801886988484	0.00190457448416834	0.000745640868767207
Master_msaldototal_lag2	0.000460063742415771	0.000729921667525059	0.00118537779137351
Master_msaldototal_lag1	0.000436070774654983	0.000918903935418229	0.00139568675435913
Master_cconsumos_lag2	0.000429329492797823	0.00310863530907554	0.00120449678800857
rf_005_007	0.0004229014128252	0.000174575159064691	1.91189966350566e-05
rf_019_013	0.000418180926296508	0.000230371779180933	0.000286784949525849
rf_020_007	0.00041183737629783	0.000253241364984757	0.000669164882226981
ccomisiones_mantenimiento_lag2	0.000400912077821457	0.000986459146874156	0.00118537779137351
rf_004_011_delta2	0.000396695503464558	0.000343392566976983	0.000382379932701132
rf_014_014	0.000385123256144814	0.000110217577285057	0.000267665952890792
rf_018_015	0.000369217690575945	0.000380843171155983	0.000172070969715509
rf_015_001_lag1	0.000363014500452051	8.34628906410615e-05	0.000267665952890792
ccomisiones_mantenimiento_lag1	0.000361301159466675	0.00381770440524928	0.001013306821658
Master_fultimo_cierre_delta2	0.000358856563953848	0.000463888102389236	0.00112802080146834
ccallcenter_transacciones_lag1	0.000351708451160465	0.00176683764277087	0.000669164882226981
Visa_fechaalta_delta2	0.000349063151575419	0.000545545600553809	0.000497093912511472
rf_014_005	0.000345009741924785	0.00019272348500617	0.000344141939431019
rf_006_001	0.000344753682309743	0.00024145875298945	0.000325022942795962
Master_mconsumototal_lag1	0.000342919567398553	0.000950434889225942	0.00112802080146834
rf_013_006	0.000340794787273608	0.000163430055269571	0.000516212909146528
rf_014_005_delta1	0.000336357714717846	0.00277964240452379	0.000611807892321811
rf_001_001_delta2	0.000327053827375981	8.03250723972652e-06	1.91189966350566e-05
ctarjeta_master_transacciones_lag2	0.000323502912714965	0.00127646844900516	0.000764759865402264
rf_004_001	0.000321645430217982	5.28243041896752e-05	9.5594983175283e-05
rf_012_002_delta2	0.000320569476198255	0.00059443676259207	0.000325022942795962
Visa_fultimo_cierre_delta2	0.000320033217819466	0.000394069184347568	0.000802997858672377
rf_015_003	0.000319686689863465	0.000102695268770725	0.000229427959620679
Master_mconsumototal_delta1	0.00031878538510126	0.000758012863447818	0.000802997858672377
rf_016_000	0.000316048335558884	0.000340531226479387	0.000152951973080453
mpayroll_sobre_edad_lag1	0.000310716022520404	0.000752087688325738	0.00118537779137351
rf_005_012	0.000307005682894202	0.00282628066927134	0.000497093912511472
rf_015_014	0.000303008787829206	0.000258124524065989	0.000210308962985623
Master_mconsumototal_delta2	0.000298515347528166	0.000358065104050076	0.000802997858672377
mtarjeta_master_consumo_lag2	0.000294461559221103	0.000514099439660438	0.000726521872132151
Visa_fechaalta_delta1	0.000285760345404556	0.000155672344330151	0.000305903946160906
thomebanking_lag1	0.000283641526133821	0.000162017400512489	0.000573569899051698
Visa_Fvencimiento_delta2	0.000282577229506098	0.000494562719824054	0.000554450902416641
rf_007_003	0.000281001280375503	0.000183521412044248	0.000325022942795962
rf_011_013_lag1	0.000274654204970028	0.000466671375756064	0.000650045885591924
rf_007_003_delta2	0.000272338620526654	0.000474356304108951	0.000267665952890792
thomebanking_lag2	0.000263483868430742	0.000157132079572251	0.000630926888956868
thomebanking_delta2	0.000263348169736184	0.00132183145714578	0.000669164882226981
cprestamos_personales_lag1	0.000260711900000474	0.00118526322064427	0.000497093912511472
ctarjeta_master_transacciones_delta1	0.000256835588848506	0.00159151808358847	0.000650045885591924
Master_cconsumos_delta1	0.000254696757637208	0.00145448168450891	0.000650045885591924
mtarjeta_master_consumo_delta1	0.000249626095251138	0.00113698506573747	0.000745640868767207
Master_fultimo_cierre_delta1	0.000248404047342848	0.000304132006396926	0.000764759865402264
rf_011_002	0.000243692149437817	0.00255001334401466	0.000497093912511472
Visa_fultimo_cierre_delta1	0.00024362451110182	0.000259575371665509	0.000707402875497094
ctarjeta_master_transacciones_lag1	0.000242251971046915	0.00146502531108728	0.000688283878862037
rf_020_011	0.000241668617542826	0.00114004433643738	0.000325022942795962
Master_cconsumos_lag1	0.000237511360360809	0.000637401308268915	0.000669164882226981
rf_014_005_lag1	0.000232504047801351	0.000128327950590655	0.000286784949525849
Visa_status_delta1	0.000232237651787003	0.00134801973673023	0.000325022942795962
entrenamiento_delta2	0.000230553446078622	0.000483160835220343	0.000535331905781585
rf_008_011_lag1	0.000229276353716798	0.000309821058474249	0.000516212909146528
Master_cconsumos_delta2	0.000228248094726005	0.00184306359028637	0.000630926888956868
mpayroll_lag1	0.000224156331825178	0.000583515291100783	0.00141480575099419
thomebanking_delta1	0.000221395077168762	0.000842700327112448	0.000554450902416641
rf_017_013	0.000216244180963421	0.000311291843217935	0.000191189966350566
rf_016_010	0.000215303031274426	0.000411131776654969	0.000439736922606302
rf_006_002_delta2	0.000213237748668328	0.000315082302674959	0.00011471397981034
rf_012_002_delta1	0.000208202395066811	0.000216253879046134	9.5594983175283e-05
rf_005_013	0.000204047108011459	7.16098981247844e-05	7.64759865402264e-05
rf_011_002_delta2	0.000202543237151227	0.000909753987279004	0.000172070969715509
Visa_Fvencimiento_delta1	0.00020107073613127	0.000287210175131465	0.000439736922606302
rf_009_003_delta2	0.000199332674473093	0.000288980017037635	0.000191189966350566
rf_010_000	0.000195889346403976	6.29038517014397e-05	7.64759865402264e-05
Master_Fvencimiento_delta2	0.000188694625935831	0.00046864683447435	0.000477974915876415
rf_002_013_lag2	0.000184095431229858	0.000166472751717107	0.000172070969715509
rf_014_012_delta1	0.000183219159589915	0.000321742509859047	0.000363260936066075
rf_016_010_delta2	0.000181810843473138	0.000780705897432826	0.000229427959620679
rf_009_004_lag2	0.000181048106277369	0.00035139336695129	0.000439736922606302
rf_008_002_delta2	0.000180079515985916	0.000904016893890439	0.000248546956255736
rf_011_013	0.000178521743983301	0.000219154373212393	0.000439736922606302
rf_019_005	0.000174920000809573	0.000103182888079835	0.00011471397981034
rf_017_008	0.000170616366282823	1.99284967295655e-05	7.64759865402264e-05
rf_005_001	0.000168574205311192	0.000499204711522849	0.000344141939431019
rf_016_012_lag2	0.000166241053381267	3.99139224129533e-05	0.00011471397981034
rf_008_011_lag2	0.00016613094614269	0.000278390270800476	0.000477974915876415
rf_010_006_lag2	0.00016397015848584	9.46445058327262e-05	0.000267665952890792
rf_019_010	0.000162749472108027	0.00020614382530173	0.000172070969715509
mtarjeta_master_consumo_lag1	0.000162320087884293	0.000323294724625288	0.000439736922606302
rf_004_004_lag1	0.000161161227864255	0.000707247850064547	0.000210308962985623
rf_010_000_lag1	0.000158636922754957	0.0026118343445607	0.000305903946160906
rf_001_006_lag2	0.000158037726553953	0.000501640406002838	0.000420617925971245
entrenamiento	0.000157792729069875	0.000224487198966853	0.000305903946160906
rf_020_007_lag1	0.000157217247188792	0.000100333798116605	0.000420617925971245
rf_017_012	0.000156253718950415	0.000928713730967367	0.000172070969715509
rf_009_002_lag2	0.000153760085411095	0.000145131600230459	0.000191189966350566
rf_009_009_lag2	0.000152157916756789	0.00209445992871287	0.000248546956255736
rf_019_002_delta2	0.00015192701287534	0.000224851832519183	0.000133832976445396
rf_018_002	0.000151808098711442	9.61775040744707e-05	0.000152951973080453
entrenamiento_lag1	0.000149444907673433	0.000201500632570154	0.000305903946160906
rf_017_001_lag1	0.000147422028603182	0.00263694217505531	0.000286784949525849
rf_001_009_delta1	0.000146728907004858	0.00263920516102138	0.000305903946160906
rf_017_015_lag1	0.000145505583295244	0.000311495298171047	0.000210308962985623
rf_007_010	0.000144364800043354	0.000109964639781366	0.000191189966350566
rf_017_004_delta2	0.000143800666149129	0.00160017536808091	0.000229427959620679
ctarjeta_master_transacciones_delta2	0.000143365270379291	0.000435358049088278	0.000363260936066075
rf_002_013	0.000141049904215078	8.62022062081022e-05	0.000229427959620679
rf_006_001_lag1	0.000137828040493114	0.000174064239719629	0.000267665952890792
rf_002_003_lag2	0.000137624574606425	0.000153072348565713	0.000229427959620679
rf_020_007_delta1	0.000136415378126683	0.000196386394781846	0.000191189966350566
Master_fechaalta_delta2	0.000134809508892707	8.22123753094222e-05	0.000210308962985623
rf_018_001_lag1	0.000133974558526911	0.000318302751974092	0.000229427959620679
rf_015_014_lag2	0.000133071721194881	5.63567818053276e-05	0.000152951973080453
rf_007_012_delta2	0.000132628965671021	4.1533395014934e-05	0.00011471397981034
rf_018_010_lag1	0.000132572860604678	0.00108821833069532	0.000267665952890792
rf_008_010	0.000129556187233336	0.000499903232188314	0.000611807892321811
rf_013_009_delta2	0.000128699899145034	0.00322837203197672	0.000325022942795962
rf_007_006_delta2	0.000127934328429821	0.0020475869821599	0.000248546956255736
rf_011_003_delta2	0.000126566876431771	0.000338336218968722	9.5594983175283e-05
